video_id,video_title,video_url,channel_name,date_uploaded,is_for_kids,is_age_restricted,df_index,id,avc
mLw4lLzB53Q,Rescuing campers from a flooded campsite | Building log bridge | Farming Simulator 19 camping,https://www.youtube.com/watch?v=mLw4lLzB53Q,Hudson's Playground Gaming,2021-08-01T06:00:19-07:00,False,False,1151,1151,1141
6mwneJPiTmM,Saving campers stuck in mud and water with monster truck | Farming Simulator 19,https://www.youtube.com/watch?v=6mwneJPiTmM,Hudson's Playground Gaming,2021-05-04T06:00:03-07:00,False,False,1152,1152,1142
vXiLTeCkIr8,Summer beach camping with Monster truck and boats | Farming Simulator 19 camping and mudding,https://www.youtube.com/watch?v=vXiLTeCkIr8,Hudson's Playground Gaming,2021-07-04T06:00:32-07:00,False,False,1153,1153,1143
UXfkyth6Df0,Farming simulator 19 | We tried logging and it went awful | Tractor game,https://www.youtube.com/watch?v=UXfkyth6Df0,Hudson's Playground Gaming,2020-08-08T08:49:43-07:00,False,False,1154,1154,1144
zhFgyzwsG1U,Baling & transporting STRAW BALES with John Deeres | Hof Bergmann | Farming Simulator 22 | Episode 2,https://www.youtube.com/watch?v=zhFgyzwsG1U,The CamPeR,2022-09-29T01:00:17-07:00,False,False,1155,1155,1145
BpKkrO2Aljk,Camper falls off dangerous mountain driving jeep | Farming Simulator 19,https://www.youtube.com/watch?v=BpKkrO2Aljk,Hudson's Playground Gaming,2021-10-28T06:00:05-07:00,False,False,1156,1156,1146
rfQ3JRQsnv4,Extreme camping on dangerous mountain | Farming Simulator 19 camping and mudding,https://www.youtube.com/watch?v=rfQ3JRQsnv4,Hudson's Playground Gaming,2021-08-17T06:00:24-07:00,False,False,1157,1157,1147
hfugoFEFSjc,Stranded and lost after huge storm | Farming Simulator 19 camping and mudding,https://www.youtube.com/watch?v=hfugoFEFSjc,Hudson's Playground Gaming,2021-07-15T06:00:32-07:00,False,False,1158,1158,1148
x-k8Ws10qZI,Huge storm floods our city | Farming Simulator 22,https://www.youtube.com/watch?v=x-k8Ws10qZI,Hudson's Playground Gaming,2022-02-24T06:00:31-08:00,False,False,1159,1159,1149
SVb9PyhFbUw,Camping on dangerous mountain path | Farming Simulator 19 camping and mudding,https://www.youtube.com/watch?v=SVb9PyhFbUw,Hudson's Playground Gaming,2021-10-14T06:00:23-07:00,False,False,1160,1160,1150
tdI_kskJHec,Huge storm floods houses and campers | Farming Simulator 19 camping and mudding,https://www.youtube.com/watch?v=tdI_kskJHec,Hudson's Playground Gaming,2021-09-09T06:00:27-07:00,False,False,1161,1161,1151
HBUtzkMF--8,Our campsite is flooded while looking for secret cave | Farming Simulator 19 camping and mudding,https://www.youtube.com/watch?v=HBUtzkMF--8,Hudson's Playground Gaming,2021-09-21T06:00:13-07:00,False,False,1162,1162,1152
rUbAcmj-fGU,Cops and swat find tons of stolen tractors and cars | Back in my day 15 | Farming Simulator 19,https://www.youtube.com/watch?v=rUbAcmj-fGU,Hudson's Playground Gaming,2021-10-12T06:00:24-07:00,False,False,1163,1163,1153
DDezQmZsEVo,Mobil vs Giant Pit #15 - BeamNG Drive,https://www.youtube.com/watch?v=DDezQmZsEVo,Tommy Handoko,2023-02-26T05:00:16-08:00,False,False,1164,1164,1154
z4AcV-HpoIg,Mobil vs Giant Pit #8 - BeamNG Drive,https://www.youtube.com/watch?v=z4AcV-HpoIg,Tommy Handoko,2022-03-02T05:00:27-08:00,False,False,1165,1165,1155
4c_0o_5VW9g,ZOMBIE WAVE + GIANT vs EVERY GOD - Totally Accurate Battle Simulator TABS,https://www.youtube.com/watch?v=4c_0o_5VW9g,BATTLES EVERYDAY,2023-08-01T06:00:02-07:00,False,False,1166,1166,1156
4J9nxMlSs48,I Synchronized a Race Track to Music - Trackmania PF #3,https://www.youtube.com/watch?v=4J9nxMlSs48,DoodleChaos,2022-04-15T06:03:03-07:00,False,False,1167,1167,1157
FCnMV8T1Vkg,Mobil Vs Hammer #3 - BeamNG Drive,https://www.youtube.com/watch?v=FCnMV8T1Vkg,Tommy Handoko,2022-09-09T06:00:07-07:00,False,False,1168,1168,1158
_oLQFEVk14o,Mobil vs Suspension Bridge #10 - BeamNG Drive,https://www.youtube.com/watch?v=_oLQFEVk14o,Tommy Handoko,2023-06-18T06:00:22-07:00,False,False,1169,1169,1159
FiyDg6kIrmk,I Synchronized a Race Track to Music - Trackmania PF #2,https://www.youtube.com/watch?v=FiyDg6kIrmk,DoodleChaos,2020-10-14T16:31:00-07:00,False,False,1170,1170,1160
VCZlTIs22Rw,Mobil vs Ramp #11 - BeamNG Drive,https://www.youtube.com/watch?v=VCZlTIs22Rw,Tommy Handoko,2023-05-15T06:00:24-07:00,False,False,1171,1171,1161
yMY5Fq8Miko,Mobil vs Suspension Bridge #11 - BeamNG Drive,https://www.youtube.com/watch?v=yMY5Fq8Miko,Tommy Handoko,2023-10-31T06:00:58-07:00,False,False,1172,1172,1162
zXcJ3C4vWCA,Mobil vs Stairs #2 - BeamNG Drive,https://www.youtube.com/watch?v=zXcJ3C4vWCA,Tommy Handoko,2022-01-09T05:00:24-08:00,False,False,1173,1173,1163
eIb4FQswMRg,Cars VS Short Bridge #4 - Speed 4x4 Sports Clash - BeamNG Drive,https://www.youtube.com/watch?v=eIb4FQswMRg,O Game Channel,2023-06-25T06:00:23-07:00,False,False,1174,1174,1164
13Hn1mcqrBc,High Ramp Jump #13 Sports Car Driver / BeamNG Drive,https://www.youtube.com/watch?v=13Hn1mcqrBc,O Game Channel,2023-10-19T08:00:02-07:00,False,False,1175,1175,1165
PQpZIPsjK8E,Mega Ramp Car Stunt Master Simulator - GT Impossible Sport Car Racing - Android GamePlay,https://www.youtube.com/watch?v=PQpZIPsjK8E,King Games,2023-08-25T20:00:12-07:00,False,False,1176,1176,1166
992OtFHzGao,Bmw VS Audi Cars Speed BRAKE Test Track / BeamNG Drive,https://www.youtube.com/watch?v=992OtFHzGao,O Game Channel,2023-07-01T08:00:10-07:00,False,False,1177,1177,1167
7NqhsKrUiMQ,Mobil vs Spikes #2 - BeamNG Drive,https://www.youtube.com/watch?v=7NqhsKrUiMQ,Tommy Handoko,2022-05-24T06:00:03-07:00,False,False,1178,1178,1168
mn5PjIDI-3o,Mobil vs Ramp #12 - BeamNG Drive,https://www.youtube.com/watch?v=mn5PjIDI-3o,Tommy Handoko,2023-09-28T06:00:44-07:00,False,False,1179,1179,1169
p7ZkKntXNKg,Epic High Speed Jumps #2 BeamNG.Drive - Car Crash Compilation,https://www.youtube.com/watch?v=p7ZkKntXNKg,O Game Channel,2021-06-15T11:25:46-07:00,False,False,1180,1180,1170
