video_id,video_title,video_url,channel_name,date_uploaded,is_for_kids
-VgEVCJ-TCI,The Amazing World of Gumball | Richard's New Beautiful Body | Cartoon Network,https://www.youtube.com/watch?v=-VgEVCJ-TCI,Cartoon Network UK,2017-09-28T10:00:00-07:00,True
EdCx2Yih3OM,The Faith | Gumball | Cartoon Network,https://www.youtube.com/watch?v=EdCx2Yih3OM,The Amazing World of Gumball,2020-12-10T04:30:01-08:00,True
PCcJEQ7GbIs,Gumball School Blues 🎒 | Cartoon Network,https://www.youtube.com/watch?v=PCcJEQ7GbIs,Cartoon Network Australia,2019-10-20T21:43:44-07:00,True
cqFJ5tiIJ94,The Amazing World of Gumball | Don't Be a Sell-Out | Cartoon Network,https://www.youtube.com/watch?v=cqFJ5tiIJ94,Cartoon Network UK,2018-02-11T08:00:02-08:00,True
NEsyCeMit9g,The Amazing World of Gumball | How to Make the Perfect Meal | Cartoon Network,https://www.youtube.com/watch?v=NEsyCeMit9g,Cartoon Network UK,2017-11-28T10:00:05-08:00,True
1NLyCCrNncs,Mini Bluey | Full Episode - Series 3 | Bluey,https://www.youtube.com/watch?v=1NLyCCrNncs,Bluey - Official Channel,2023-10-10T08:00:03-07:00,True
t0Q2otsqC4I,Tom & Jerry | Tom & Jerry in Full Screen | Classic Cartoon Compilation | WB Kids,https://www.youtube.com/watch?v=t0Q2otsqC4I,WB Kids,2021-11-20T06:00:32-08:00,True
3F1Ilb5AsHQ,The BEST PIZZA EVER 🍕 | Peppa Pig Full Episodes,https://www.youtube.com/watch?v=3F1Ilb5AsHQ,Peppa Pig - Official Channel,2023-05-27T22:00:03-07:00,True
hdkpxK2a-tY,Smoochy Kiss | Full Episode - Series 3 | Bluey,https://www.youtube.com/watch?v=hdkpxK2a-tY,Bluey - Official Channel,2023-10-24T08:00:35-07:00,True
VX9XFycC0y4,Bluey Full Episode | Ragdoll | S3 E24 | Full Episode | @disneyjunior,https://www.youtube.com/watch?v=VX9XFycC0y4,Disney Junior,2023-10-17T04:45:01-07:00,True
gZi9ksVP3Os,Ben and Holly’s Little Kingdom | Superheroes Ben and Holly | Cartoon for Kids,https://www.youtube.com/watch?v=gZi9ksVP3Os,Ben and Holly’s Little Kingdom – Official Channel,2020-02-17T22:00:06-08:00,True
3sTImnH8Z-8,🔴LIVE: Games time with Bluey | Bluey,https://www.youtube.com/watch?v=3sTImnH8Z-8,Bluey - Official Channel,2023-02-20T09:05:20-08:00,True
ZFGgcUVqyWw,🔴 Live: Bluey Series 2 Full Episodes,https://www.youtube.com/watch?v=ZFGgcUVqyWw,Bluey - Official Channel,2022-12-29T08:47:44-08:00,True
2L88XUBRh_g,🔴LIVE: Cousins Moments | Bluey,https://www.youtube.com/watch?v=2L88XUBRh_g,Bluey - Official Channel,2023-01-19T08:49:22-08:00,True
7Ja8hcU3VXo,The Clubhouse! 🏠 | Peppa Pig Official Full Episodes,https://www.youtube.com/watch?v=7Ja8hcU3VXo,Peppa Pig - Official Channel,2023-07-23T22:00:05-07:00,True
jio9g5JoCEA,The LONGEST Slide Ever At The Water Park 💦 | Peppa Pig Official Full Episodes,https://www.youtube.com/watch?v=jio9g5JoCEA,Peppa Pig - Official Channel,2023-09-28T00:00:31-07:00,True
m4mQiTd52Bc,Bluey Full Episode | Duck Cake 🦆 | S2 E44 | Full Episode | @disneyjunior @BlueyOfficialChannel,https://www.youtube.com/watch?v=m4mQiTd52Bc,Disney Junior,2022-12-13T04:44:46-08:00,True
7AcntoTH-VI,Peppa Pig Goes Shopping for Mother's Day | Peppa Pig Official Family Kids Cartoon,https://www.youtube.com/watch?v=7AcntoTH-VI,Peppa Pig - Official Channel,2020-03-21T00:15:00-07:00,True
zL_vNn06a5M,Pizza Girls | Full Episode | Bluey,https://www.youtube.com/watch?v=zL_vNn06a5M,Bluey - Official Channel,2023-10-03T08:00:46-07:00,True
P1zzpbrvTwA,Troubleful Trains 🚆 | Bluey 💙 | Disney Junior Arabia,https://www.youtube.com/watch?v=P1zzpbrvTwA,Disney Junior MENA,2022-06-20T07:00:18-07:00,True
FsshOWIQPeo,🔴LIVE: Games to Play in the Car | Bluey,https://www.youtube.com/watch?v=FsshOWIQPeo,Bluey - Official Channel,2023-06-08T08:55:45-07:00,True
bshREZx6vdY,Season 1 Full Episodes | Bluey,https://www.youtube.com/watch?v=bshREZx6vdY,Bluey - Official Channel,2023-11-03T09:00:26-07:00,True
KpHBj3ISMzk,Chips Wonderful Day Out | Chip and Potato | Cartoons for Kids | WildBrain Zoo,https://www.youtube.com/watch?v=KpHBj3ISMzk,WildBrain Zoo,2023-07-19T04:00:12-07:00,True
tIdV_oO1K7c,The Biggest Marble Run Ever 🎯 | Peppa Pig Official Full Episodes,https://www.youtube.com/watch?v=tIdV_oO1K7c,Peppa Pig - Official Channel,2023-06-24T22:00:25-07:00,True
DAGBiu0YjbI,Rainbow King Needs His Mumu! 😴 Snoozy Sleepover & More Full Episodes 🌈 True and the Rainbow Kingdom,https://www.youtube.com/watch?v=DAGBiu0YjbI,True and the Rainbow Kingdom,2023-09-12T14:00:14-07:00,True
HaYxJeWvyDg,Zig & Sharko | THE SIRENS (S03E30) New Episodes in HD,https://www.youtube.com/watch?v=HaYxJeWvyDg,Zig & Sharko,2022-11-13T04:00:12-08:00,True
6eXAqt4_yXU,🔴 PEPPA PIG TALES LIVE 🐷 BRAND NEW PEPPA PIG TALES 🐽 EPISODES LIVE 24/7,https://www.youtube.com/watch?v=6eXAqt4_yXU,Playtime With Peppa,2023-10-04T18:22:29-07:00,True
IJONV2SSO5Y,Baby Alive Official 🐶 Dolls Surprise Pet Puppy 🐶 Kids Videos and Cartoons 💕,https://www.youtube.com/watch?v=IJONV2SSO5Y,Baby Alive Official,2022-04-16T08:00:17-07:00,True
OpCY-l55rs8,Katie’s Mission for Marshall and Skye and MORE | PAW Patrol Compilation | Cartoons for Kids,https://www.youtube.com/watch?v=OpCY-l55rs8,Spin Kids - Cartoons & Original Shows for Kids,2023-10-02T11:23:50-07:00,True
yPeA3NGQW2o,Peppa Pig Full Episodes | Chloe's Big Friends | Cartoons for Children,https://www.youtube.com/watch?v=yPeA3NGQW2o,Peppa Pig Asia,2019-03-19T02:00:12-07:00,True
tpHDMNCyAgg,Zap! Be Careful with Electricity | Kids Safety Tips | Kids Cartoon | Sheriff Labrador | BabyBus,https://www.youtube.com/watch?v=tpHDMNCyAgg,BabyBus - Kids Songs and Cartoons,2023-10-31T03:30:18-07:00,True
LdDSR5fh0Jg,The Very Rainy Rainforest ☔️ | Peppa Pig Official Full Episodes,https://www.youtube.com/watch?v=LdDSR5fh0Jg,Peppa Pig - Official Channel,2023-10-23T16:00:08-07:00,True
X6uqqJQ4Tno,Best Steve and Maggie Magic Stories for Kids of 2020 | Speak and Learn with Wow English TV,https://www.youtube.com/watch?v=X6uqqJQ4Tno,STEVE AND MAGGIE,2021-01-06T05:55:45-08:00,True
Lhr9csbIbHw,Five Kids Incredible Giant Dollhouse Party,https://www.youtube.com/watch?v=Lhr9csbIbHw,Vania Mania Kids,2022-06-03T05:16:00-07:00,True
YbTIi0mJWS8,Camel Rescue Mission +More | Super Rescue Team Collection | Best Cartoon Collection,https://www.youtube.com/watch?v=YbTIi0mJWS8,BabyBus TV - Kids Cartoon,2023-07-05T05:00:32-07:00,True
0_qDBu1P9yE,The Diving Board | Mr. Bean | Cartoons for Kids | WildBrain Kids,https://www.youtube.com/watch?v=0_qDBu1P9yE,WildBrain Kids,2022-11-02T09:00:00-07:00,True
nA3yI4xpqhk,Five Kids at School and other Stories about the Importance of Studying,https://www.youtube.com/watch?v=nA3yI4xpqhk,Vania Mania Kids,2022-07-20T07:30:10-07:00,True
w3wyZv1yIX4,Hot And Cold  - Full Episode | Little Angel Nursery Rhymes for Kids | Kids TV Shows Full Episodes,https://www.youtube.com/watch?v=w3wyZv1yIX4,Kids TV Shows Full Episodes,2023-07-02T04:00:41-07:00,True
_mErvrikdUc,🔴 Live! Peppa Pig SPECIAL EPISODES,https://www.youtube.com/watch?v=_mErvrikdUc,Peppa Pig - Official Channel,2022-11-17T15:43:47-08:00,True
E8_7jCnTw3A,Peppa Pig's Sleepover,https://www.youtube.com/watch?v=E8_7jCnTw3A,Peppa Pig - Official Channel,2019-02-20T22:15:01-08:00,True
XyB-NTTNI60,Baby Has A Boo Boo! | Little Angel | Sing Along | Learn ABC 123 Songs and Rhymes | Moonbug Kids,https://www.youtube.com/watch?v=XyB-NTTNI60,Moonbug Kids - Preschool Learning ABCs and 123s,2022-03-27T04:00:22-07:00,True
lEnId2pzqL0,Rainbow Popsicle Song | Cocomelon - Nursery Rhymes | Colors for Kids,https://www.youtube.com/watch?v=lEnId2pzqL0,Best Color Videos for Kids,2023-06-16T02:30:12-07:00,True
p1f7cs4Gv2Y,The Wheels on the Bus - Animal Sounds Song | Nursery Rhymes Compilation from Dave and Ava,https://www.youtube.com/watch?v=p1f7cs4Gv2Y,Dave and Ava - Nursery Rhymes and Baby Songs,2016-03-25T04:29:20-07:00,True
HIPcv5QHWN4,The RIGHT Way to Chew Gum! | The Fixies | Cartoons For Kids | WildBrain Fizz,https://www.youtube.com/watch?v=HIPcv5QHWN4,WildBrain Fizz,2023-08-09T09:00:15-07:00,True
bOiYN7iU-W8,Wheels On The Bus + More Nursery Rhymes & Kids Songs - Educational Videos for Kids & Toddlers,https://www.youtube.com/watch?v=bOiYN7iU-W8,Ms Rachel - Toddler Learning Videos,2022-08-02T06:00:09-07:00,True
Y6GZbPfb0I4,Baby Shark + Wheels on the bus & More Popular @CoComelon Kids Songs | Animals Cartoons for Kids,https://www.youtube.com/watch?v=Y6GZbPfb0I4,Moonbug Kids - Animals for Kids,2023-03-16T01:00:22-07:00,True
pRfPfvTcU2E,Peek-a-BOO on Halloween! Family Fright | CoComelon | Songs and Cartoons | Best Videos for Babies,https://www.youtube.com/watch?v=pRfPfvTcU2E,Moonbug Kids - Baby Time!,2023-10-25T06:00:47-07:00,True
2eiNOUgx_F8,Dino-Rawr Wakes Up Peppa and George 🦖 | Peppa Pig Official Full Episodes,https://www.youtube.com/watch?v=2eiNOUgx_F8,Peppa Pig - Official Channel,2023-10-09T16:00:01-07:00,True
47MNn4bsmSw,"Learn Animals with Ms Rachel for Toddlers - Animal Sounds, Farm Animals, Nursery Rhymes & Kids Songs",https://www.youtube.com/watch?v=47MNn4bsmSw,Ms Rachel - Toddler Learning Videos,2022-04-26T07:00:11-07:00,True
e_04ZrNroTo,Wheels on the Bus | @CoComelon Nursery Rhymes & Kids Songs,https://www.youtube.com/watch?v=e_04ZrNroTo,Cocomelon - Nursery Rhymes,2018-05-24T00:00:02-07:00,True
RX_GCvz48O0,Five Little Monkeys Jumping on the Bed + More Nursery Rhymes & Kids Songs - CoComelon,https://www.youtube.com/watch?v=RX_GCvz48O0,Cocomelon - Nursery Rhymes,2019-03-29T00:00:05-07:00,True
mxzqCcoKKhM,Wheels on the Bus | @CoComelon Nursery Rhymes & Kids Songs | Best Cars & Truck Videos for Kids,https://www.youtube.com/watch?v=mxzqCcoKKhM,Best Cars and Truck Videos for Kids,2023-06-16T04:00:45-07:00,True
zzPxXtnYnI0,Baby Shark + Wheels on the bus & More Popular Kids Songs | Animals Cartoons for Kids |Funny Cartoons,https://www.youtube.com/watch?v=zzPxXtnYnI0,Moonbug Kids - Animals for Kids,2023-02-02T00:00:23-08:00,True
wpBsDXbxSGI,Lunchbox Song | Little Angel & Cocomelon Nursery Rhymes,https://www.youtube.com/watch?v=wpBsDXbxSGI,CoComelon and Little Angel Nursery Rhymes,2023-06-25T02:30:24-07:00,True
3CbHF4OCOGA,Wheels on the Bus | Cartoons & Kids Songs | Moonbug Kids - Nursery Rhymes for Babies,https://www.youtube.com/watch?v=3CbHF4OCOGA,Nursery Rhymes for Babies - Moonbug Kids,2022-07-09T02:00:35-07:00,True
21D7QP9cN9s,FULL EPISODE: Dora's Rescue in Mermaid Kingdom 🧜‍♀️ w/ Maribel the Mermaid! | Dora the Explorer,https://www.youtube.com/watch?v=21D7QP9cN9s,Dora & Friends,2023-03-11T04:59:46-08:00,True
yiqt97hSLys,Dora FULL EPISODES Marathon! ⭐️ | 3 Full Episodes - 90 Minutes | Dora the Explorer,https://www.youtube.com/watch?v=yiqt97hSLys,Dora & Friends,2023-04-01T04:59:49-07:00,True
sopPqpKgAnw,Dora Saves Fairytale Land! 🧚‍♀️ w/ Boots! | FULL EPISODE | Dora the Explorer,https://www.youtube.com/watch?v=sopPqpKgAnw,Dora & Friends,2023-04-29T04:59:51-07:00,True
BiqgZJClToA,Dora's Yummy Food Marathon! 🍎 1 Hour of Dora the Explorer | Dora & Friends,https://www.youtube.com/watch?v=BiqgZJClToA,Dora & Friends,2023-11-04T04:59:55-07:00,True
2jsk3yARUZ0,"Dora Stops the Legion of Swipers! 🦊 | FULL EPISODE ""Dora's World Adventure""| Dora the Explorer",https://www.youtube.com/watch?v=2jsk3yARUZ0,Dora & Friends,2023-05-23T04:59:48-07:00,True
WiBnt0GUPOw,Dora Meets Kittens in Mittens! 🐱🧤 w/ Boots! | FULL EPISODE | Dora the Explorer,https://www.youtube.com/watch?v=WiBnt0GUPOw,Dora & Friends,2023-03-18T04:59:52-07:00,True
059k6TO-ds4,FULL EPISODE: Dora's Great Roller Skate Adventure! w/ Boots | Dora the Explorer,https://www.youtube.com/watch?v=059k6TO-ds4,Dora & Friends,2023-03-04T04:59:47-08:00,True
xsvT_fch5to,Dora FULL EPISODES Marathon! ➡️ | 6 Full Episodes - 150 Minutes | Dora the Explorer,https://www.youtube.com/watch?v=xsvT_fch5to,Dora & Friends,2023-07-04T04:59:52-07:00,True
5nZWJCPBdAE,"Most Daring Rescues w/ Gil, Molly, and Baby Mia! | 60 Minute Superhero Compilation | Bubble Guppies",https://www.youtube.com/watch?v=5nZWJCPBdAE,Dora & Friends,2022-06-18T04:59:46-07:00,True
a2J7uDjHQjo,FULL Episode: Dora Saves the Crystal Kingdom! 🏰 Magic Storybook Fairytale | Dora & Friends,https://www.youtube.com/watch?v=a2J7uDjHQjo,Dora & Friends,2023-10-12T05:00:18-07:00,True
jxkRCdRVIHc,🔴 [KATURI] Katuri1 Full Episodes | Katuri Official Channel | LIVE NOW!,https://www.youtube.com/watch?v=jxkRCdRVIHc,KATURI TV,2023-05-10T21:50:52-07:00,True
K8JfvV272PU,Rubble's Best Rescues From PAW Patrol Season 3! | 90 Minute Compilation | Rubble & Crew,https://www.youtube.com/watch?v=K8JfvV272PU,Rubble & Crew,2023-08-21T02:59:54-07:00,True
6gLUL5p694Q,Multiple Baby Morphles Mayhem | Stories for Kids | Morphle Kids Cartoons,https://www.youtube.com/watch?v=6gLUL5p694Q,Morphle - Kids Cartoons,2023-07-27T04:00:07-07:00,True
IJ2VK3_WSew,True: Mushroom Town 🌈 4 Full Episodes 🌈 True and the Rainbow Kingdom,https://www.youtube.com/watch?v=IJ2VK3_WSew,True and the Rainbow Kingdom,2023-01-10T14:00:06-08:00,True
i6bORQh_9LQ,Mickey's Treat 🎃 | S1 E17 | Full Episode | Mickey Mouse Clubhouse | @disneyjunior,https://www.youtube.com/watch?v=i6bORQh_9LQ,Disney Junior,2018-09-07T10:02:06-07:00,True
