video_id,video_url,video_title,channel_title,channel_id
mzB1VGEGcSU,https://www.youtube.com/watch?v=mzB1VGEGcSU,Juice WRLD - Lucid Dreams (Directed by Cole Bennett),Lyrical Lemonade,UCtylTUUVIGY_i5afsQYeBZA
iPGgnzc34tY,https://www.youtube.com/watch?v=iPGgnzc34tY,Aya Nakamura - Djadja (Clip officiel),Aya Nakamura,UC-69vhXlCa3XHbF8JHCQHfg
M4ZoCHID9GI,https://www.youtube.com/watch?v=M4ZoCHID9GI,The Weeknd - Call Out My Name (Official Video),TheWeekndVEVO,UCF_fDSgPpBQuh1MsUTgIARQ
dzsuE5ugxf4,https://www.youtube.com/watch?v=dzsuE5ugxf4,Waka Waka (Esto es Africa) (Cancion Oficial de la Copa Mundial de la FIFA� Sudafrica 2010),shakiraVEVO,UCGnjeahCJW1AF34HBmQTJ-Q
eJO5HU_7_1w,https://www.youtube.com/watch?v=eJO5HU_7_1w,Eminem - The Real Slim Shady (Official Video - Clean Version),EminemVEVO,UC20vb-R_px4CguHzzBPhoyQ
UtF6Jej8yb4,https://www.youtube.com/watch?v=UtF6Jej8yb4,Avicii - The Nights,AviciiOfficialVEVO,UC1SqP7_RfOC9Jf9L_GRHANg
DkeiKbqa02g,https://www.youtube.com/watch?v=DkeiKbqa02g,"Calvin Harris, Dua Lipa - One Kiss (Official Video)",CalvinHarrisVEVO,UCaHNFIob5Ixv74f5on3lvIw
C-u5WLJ9Yk4,https://www.youtube.com/watch?v=C-u5WLJ9Yk4,Britney Spears - ...Baby One More Time (Official Video),BritneySpearsVEVO,UCZijND2e2tPp2AQL8Go2YSg
VYOjWnS4cMY,https://www.youtube.com/watch?v=VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,UCjYO25ZVJT523TD1iYHzcbw
zAWsoFk2yVw,https://www.youtube.com/watch?v=zAWsoFk2yVw,"Becky G, Paulo Londra - Cuando Te Besé (Official Video)",BeckyGVEVO,UCJrREGJ2R1mMuKJkZ8SMCcA
VPRjCeoBqrI,https://www.youtube.com/watch?v=VPRjCeoBqrI,Coldplay - A Sky Full Of Stars (Official Video),Coldplay,UCDPM_n1atn2ijUwHd0NNRQw
vIaH35-MLsk,https://www.youtube.com/watch?v=vIaH35-MLsk,Akon - Right Now (Na Na Na) (Official Video),AkonVEVO,UCX2v47KsDKqajrEYFV7GbBg
E8gmARGvPlI,https://www.youtube.com/watch?v=E8gmARGvPlI,Wham! - Last Christmas (Official Video),WhamVEVO,UCm1QnxCbcLB8fQwoTDk39iQ
HgzGwKwLmgM,https://www.youtube.com/watch?v=HgzGwKwLmgM,Queen - Don't Stop Me Now (Official Video),Queen Official,UCiMhD4jzUqG-IgPzUmmytRQ
cVlAmP-KDT4,https://www.youtube.com/watch?v=cVlAmP-KDT4,Banda Los Recoditos - Mi Último Deseo (Video Oficial),BandaLosRecoditoVEVO,UCThhGOjJNWL4ZK45UrRh27A
OYwdXMPu17E,https://www.youtube.com/watch?v=OYwdXMPu17E,Culpables - MTZ Manuel Turizo,Manuel Turizo,UC5Jn-9jqrVvKm9Hx0WW8Pgw
frN3nvhIHUk,https://www.youtube.com/watch?v=frN3nvhIHUk,Do You Like Broccoli Ice Cream? | Super Simple Songs,Super Simple Songs - Kids Songs,UCLsooMJoIpl_7ux2jvdPB-Q
Mgfe5tIwOj0,https://www.youtube.com/watch?v=Mgfe5tIwOj0,Dua Lipa - IDGAF (Official Music Video),Dua Lipa,UC-J-KZfRV8c13fOCkhXdLiQ
otCpCn0l4Wo,https://www.youtube.com/watch?v=otCpCn0l4Wo,M.C. Hammer - U Can't Touch This,MCHammerVevo,UCBPewBTP3u9Y9TcyjOkDgtQ
p03TIGqEc8o,https://www.youtube.com/watch?v=p03TIGqEc8o,"Sofia Reyes - 1, 2, 3 (feat. Jason Derulo & De La Ghetto) [Official Video]",Sofia Reyes,UCxnuocYtHU8Sxo14SOOGveg
Dsp_8Lm1eSk,https://www.youtube.com/watch?v=Dsp_8Lm1eSk,Shakira - La Tortura (Official HD Video) ft. Alejandro Sanz,shakiraVEVO,UCGnjeahCJW1AF34HBmQTJ-Q
ZaI2IlHwmgQ,https://www.youtube.com/watch?v=ZaI2IlHwmgQ,The Black Eyed Peas - Pump It (Official Music Video),BlackEyedPeasVEVO,UCrwmu-gceGOmtZeuTsn7DlQ
VCLxJd1d84s,https://www.youtube.com/watch?v=VCLxJd1d84s,The Pussycat Dolls - Buttons (Official Music Video) ft. Snoop Dogg,ThePussycatDollsVEVO,UCiA9R5n9sR06RgGGigkY5RA
Rbm6GXllBiw,https://www.youtube.com/watch?v=Rbm6GXllBiw,Guns N' Roses - Paradise City (Official Music Video),GunsNRosesVEVO,UCJN4c_lZorb_0eyIP_tSS3A
bvC_0foemLY,https://www.youtube.com/watch?v=bvC_0foemLY,Robin Schulz - Sugar (feat. Francesco Yates) (OFFICIAL MUSIC VIDEO),Robin Schulz,UCLVVBWrp9jw4-SYUoU42hcg
qExd-3oCTl4,https://www.youtube.com/watch?v=qExd-3oCTl4,Carlos Baute - Colgando en tus manos (con Marta Sanchez),Carlos Baute,UCr20IRb6bEs8Dw8HgL6iMRQ
T3E9Wjbq44E,https://www.youtube.com/watch?v=T3E9Wjbq44E,Gym Class Heroes: Stereo Hearts ft. Adam Levine [OFFICIAL VIDEO],Fueled By Ramen,UClVrJwcIy7saPcGc1nct80A
Wa5B22KAkEk,https://www.youtube.com/watch?v=Wa5B22KAkEk,"Snoop Dogg & Wiz Khalifa - Young, Wild and Free ft. Bruno Mars [Official Video]",Wiz Khalifa,UCVp3nfGRxmMadNDuVbJSk8A
4NJlUribp3c,https://www.youtube.com/watch?v=4NJlUribp3c,Desiigner - Panda (Official Audio),DesiignerVEVO,UCuoH9aFpJT0HltXb0XrKRNQ
iEe_eraFWWs,https://www.youtube.com/watch?v=iEe_eraFWWs,The Black Eyed Peas - My Humps,BlackEyedPeasVEVO,UCrwmu-gceGOmtZeuTsn7DlQ
EkHTsc9PU2A,https://www.youtube.com/watch?v=EkHTsc9PU2A,Jason Mraz - I'm Yours (Official Video) [4K Remaster],Jason Mraz,UC8ey1FYCmgHPa9f5KxWb0mw
KDxJlW6cxRk,https://www.youtube.com/watch?v=KDxJlW6cxRk,Duke Dumont - Ocean Drive (Official Music Video),DukeDumontVEVO,UCBn0VobeNWV_SZ6UV65UIJw
syFZfO_wfMQ,https://www.youtube.com/watch?v=syFZfO_wfMQ,One Direction - Night Changes,OneDirectionVEVO,UCbW18JZRgko_mOGm5er8Yzg
2zn4dAuZ2RU,https://www.youtube.com/watch?v=2zn4dAuZ2RU,"J Balvin, Zion & Lennox - No Es Justo (Official Video)",jbalvinVEVO,UCrHL_BF5lHyK43BxLU8-vBQ
rywUS-ohqeE,https://www.youtube.com/watch?v=rywUS-ohqeE,Alicia Keys - No One (Official Music Video),aliciakeysVEVO,UCETZ7r1_8C1DNFDO-7UXwqw
p2Rch6WvPJE,https://www.youtube.com/watch?v=p2Rch6WvPJE,Toni Braxton - Un-Break My Heart (Official HD Video),ToniBraxtonVEVO,UC77dnp1YMeOAMZadv-9KvEQ
ViwtNLUqkMY,https://www.youtube.com/watch?v=ViwtNLUqkMY,Beyoncé - Crazy In Love ft. JAY Z,BeyoncéVEVO,UC9zX2xZIJ4cnwRsgBpHGvMg
BiQIc7fG9pA,https://www.youtube.com/watch?v=BiQIc7fG9pA,"gnash - i hate u, i love u ft. olivia o'brien (music video)",gnash,UCZGHYE5T-1Q4AVq3lu5V0yQ
5NV6Rdv1a3I,https://www.youtube.com/watch?v=5NV6Rdv1a3I,"Daft Punk - Get Lucky (Official Audio) ft. Pharrell Williams, Nile Rodgers",DaftPunkVEVO,UCKHFvArwRwQU2VbRjMpaVGw
POP9_phDB2g,https://www.youtube.com/watch?v=POP9_phDB2g,Pablo Alboran - Donde Está El Amor ft. Jesse & Joy (Videoclip oficial),Pablo Alborán,UCf3L_9odIRo9G2L_-hsb7lg
waU75jdUnYw,https://www.youtube.com/watch?v=waU75jdUnYw,The Weeknd - Earned It (Fifty Shades Of Grey),TheWeekndVEVO,UCF_fDSgPpBQuh1MsUTgIARQ
I_izvAbhExY,https://www.youtube.com/watch?v=I_izvAbhExY,Bee Gees - Stayin' Alive (Official Video),beegees,UCD9sCcKXnFxMeuFoNayVxeQ
N6O2ncUKvlg,https://www.youtube.com/watch?v=N6O2ncUKvlg,Nelly - Just A Dream (Official Music Video),NellyVEVO,UCzQNgpWWPLuoAC6zA3VejzA
weRHyjj34ZE,https://www.youtube.com/watch?v=weRHyjj34ZE,"Shakira - Whenever, Wherever (Official HD Video)",shakiraVEVO,UCGnjeahCJW1AF34HBmQTJ-Q
47dtFZ8CFo8,https://www.youtube.com/watch?v=47dtFZ8CFo8,Capital Cities - Safe And Sound,CapitalCitiesVEVO,UCQraIhcLCFjoI4B1B9KcmRQ
nIjVuRTm-dc,https://www.youtube.com/watch?v=nIjVuRTm-dc,Maroon 5 - She Will Be Loved (Official Music Video),Maroon5VEVO,UCN1hnUccO4FD5WfM7ithXaw
k2C5TjS2sh4,https://www.youtube.com/watch?v=k2C5TjS2sh4,Roxette - It Must Have Been Love (Official Music Video),Roxette,UCjVf2FirkZsEW8LN6nZcnog
